sector,1,2,3,4,5,6,7
agriculture,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
biogenic,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
industry,0.162,0.162,0.162,0.162,0.162,0.112,0.078
power,0.147,0.147,0.147,0.147,0.147,0.135,0.13
residential,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143
transportation,0.155324459,0.155324459,0.155324459,0.155324459,0.155324459,0.116472545,0.106905158
